Code,Substation Name,Latitude,Longitude
A,Estación Carlos Antonio López,-26.4404871349547,-54.7136488737980
B,Estación Campo Dos,-25.4132596331584,-55.5981466068710
C,Estación Itakyry,-24.9947877793220,-55.0748758141749
D,Subestación Paranambu,-25.8654409111292,-54.7673282080658
E,Estación Pte Franco,-25.5242877755251,-54.6602730153911
F,Estación Salto del Guairá,-23.9859149118054,-54.3864868736447
G,Subestación Acaray,-25.4585684512157,-54.6236968644649
H,Subestación Alto Paraná,-25.5084506698273,-54.6322944725499
I,Subestación Catuete,-24.2581146985867,-54.7811690468161
J,Subestación Curuguaty,-24.4505596855661,-55.6825562061486
K,Subestación del Este,-25.5310680456045,-54.6175315957382
L,Subestación Hernandarias,-25.4383964995769,-54.6333843509485
M,Subestación Km 30,-25.4783908524517,-54.8763969418319
N,Subestación Naranjal,-25.9884463723231,-55.0319767147661
